,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,y_true,y_predict,y_proba
0,0.0,6.0,4.0,3.0,1169.0,4.0,4.0,4.0,2.0,0.0,4.0,0.0,67.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.251348957652839
1,1.0,48.0,2.0,3.0,5951.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,22.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5008866884755784
2,3.0,12.0,4.0,6.0,2096.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,49.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.7336928255259283
3,0.0,42.0,2.0,2.0,7882.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,45.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4834711864718632e-12
4,0.0,24.0,3.0,0.0,4870.0,0.0,2.0,3.0,2.0,0.0,4.0,3.0,53.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5009891455655243
5,3.0,36.0,2.0,6.0,9055.0,4.0,2.0,2.0,2.0,0.0,4.0,3.0,35.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.7310813807242647
6,3.0,24.0,2.0,2.0,2835.0,2.0,4.0,3.0,2.0,0.0,4.0,1.0,53.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.7359919302079092
7,1.0,36.0,2.0,1.0,6948.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,35.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.7311189297092366
8,3.0,12.0,2.0,3.0,3059.0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,61.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6169392209365215
9,1.0,30.0,4.0,0.0,5234.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,28.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5012922275124222
10,1.0,12.0,2.0,0.0,1295.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,25.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5242315492114453
11,0.0,48.0,2.0,9.0,4308.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,24.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3138834385866891
12,1.0,12.0,2.0,3.0,1567.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,22.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.472021567283369
