X,Real Y,Predict Y (1),Predict Y (2),Predict Y (3),Predict Y (4),Predict Y (5),Predict Y (6),Predict Y (7),Predict Y (8),Predict Y (9),Predict Y (10),Predict Y (11),Predict Y (12),Predict Y (13),Predict Y (14),Predict Y (15),Predict Y (16)
1958.166667,316.1,319.2126721,319.9972494,314.9364742,318.4243945,318.9533179,312.572797,308.2634826,317.4346321,317.7912871,315.5286108,312.3414317,311.3915571,317.3244603,309.373076,321.3359694,314.3746215
1958.25,317.2,314.854566,313.9656438,317.7744184,316.8718271,314.4943544,315.2855948,314.1750936,316.685339,317.8196449,316.6183594,313.5656997,312.5277463,318.877052,311.2354718,321.5260172,315.7779291
1958.333333,317.4333333,312.1899833,320.1771492,318.0856086,315.492661,313.8307805,319.0419889,318.0861814,315.1971493,318.4359732,317.3577583,315.7415236,314.7661037,319.8271777,313.716129,321.0297239,317.7855984
1958.5,315.625,312.5389577,319.8362276,315.5500343,314.5047566,315.7239022,319.3333861,316.2997508,314.8511723,316.5413506,314.6737999,316.3059377,315.3906581,318.9987679,314.897601,315.9648255,316.5506252
1958.583333,314.95,316.4138925,321.1938468,317.5137944,315.5621094,315.5557177,313.9914641,313.7820278,314.7129151,313.0990261,312.7882063,313.9284692,315.3459129,317.5180955,314.4161582,314.0767782,312.6932348
1958.666667,313.5,316.9098243,308.53987,315.1775535,317.1330946,316.3125593,308.8233042,311.6042778,313.0905553,310.4221273,312.7389532,311.4388898,316.0680419,315.1860159,313.9243359,314.8645601,310.8827649
1958.833333,313.425,314.8300366,317.3941869,314.2716712,317.4570431,319.797163,310.4867683,311.8373612,312.061617,311.7706575,316.0512449,313.0855767,317.5821973,313.4325686,313.639109,319.3093917,315.3596175
1958.916667,314.7,312.1751134,317.927703,311.076315,316.327533,319.6391714,314.7550084,315.0272745,313.1502269,313.7382108,316.266453,315.3261309,316.7288689,315.0041826,313.9437753,318.7176797,316.8767735
1959,315.5,316.0930668,320.7220108,311.4371791,315.147369,318.6521828,317.5875656,317.8943725,314.3182003,315.5534952,315.9131434,316.6447391,314.634752,316.4991427,314.1616417,317.0767038,316.6117688
1959.083333,316.7,316.2900612,315.3086347,312.6124478,314.7201358,317.273899,317.8081306,319.2117193,315.2793008,316.7372854,316.1802963,316.8283559,312.7614465,317.4992539,314.0828069,315.9560876,316.4139113
1959.166667,316.7333333,317.3183683,306.968205,310.2825864,315.0997631,315.4961784,317.1163716,320.1556584,316.7299017,317.370995,316.9569329,317.5392697,312.2847864,318.4331743,314.3069294,316.3092559,317.0658955
