,0,1,2,3,y_true,y_predict,y_proba
0,2.0,50.0,12500.0,98.0,1.0,1.0,0.7310584013963285
1,0.0,13.0,3250.0,28.0,1.0,1.0,0.7310584260822498
2,1.0,16.0,4000.0,35.0,1.0,1.0,0.7310584574751632
3,2.0,20.0,5000.0,45.0,1.0,1.0,0.7255680391512517
4,1.0,24.0,6000.0,77.0,0.0,0.0,0.5000000822095862
5,4.0,4.0,1000.0,4.0,0.0,1.0,0.565676389921913
6,2.0,7.0,1750.0,14.0,1.0,1.0,0.7310584430802167
7,1.0,12.0,3000.0,35.0,0.0,1.0,0.6792445124921044
8,2.0,9.0,2250.0,22.0,1.0,1.0,0.7310582960743003
9,5.0,46.0,11500.0,98.0,1.0,0.0,0.5421447917784383
10,4.0,23.0,5750.0,58.0,0.0,0.0,0.5000001414323862
11,0.0,3.0,750.0,4.0,0.0,0.0,0.5000001354363471
12,2.0,10.0,2500.0,28.0,1.0,1.0,0.7310582686561428
13,1.0,13.0,3250.0,47.0,0.0,0.0,0.5000002203302917
14,2.0,6.0,1500.0,15.0,1.0,1.0,0.7310577864542895
15,2.0,5.0,1250.0,11.0,1.0,1.0,0.7310578128498751
16,2.0,14.0,3500.0,48.0,1.0,1.0,0.7310583098181365
17,2.0,15.0,3750.0,49.0,1.0,1.0,0.6095529499143046
18,2.0,6.0,1500.0,15.0,1.0,1.0,0.7310577864542895
19,2.0,3.0,750.0,4.0,1.0,1.0,0.7310584585709647
20,2.0,3.0,750.0,4.0,1.0,1.0,0.7310584585709647
21,4.0,11.0,2750.0,28.0,0.0,0.0,0.49999995226019356
22,2.0,6.0,1500.0,16.0,1.0,1.0,0.7310585982394384
23,2.0,6.0,1500.0,16.0,1.0,1.0,0.7310585982394384
24,9.0,9.0,2250.0,16.0,0.0,0.0,0.5000001268849384
25,4.0,14.0,3500.0,40.0,0.0,0.0,0.5000003092114889
26,4.0,6.0,1500.0,14.0,0.0,0.0,0.5000003842450919
27,4.0,12.0,3000.0,34.0,1.0,1.0,0.6184639192540099
28,4.0,5.0,1250.0,11.0,1.0,1.0,0.7310586662978877
29,4.0,8.0,2000.0,21.0,0.0,0.0,0.5000002636867196
30,1.0,14.0,3500.0,58.0,0.0,0.0,0.5000015196971224
31,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310584005034457
32,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310584005034457
33,4.0,9.0,2250.0,26.0,1.0,1.0,0.7310584080179564
34,2.0,16.0,4000.0,64.0,0.0,0.0,0.5000001588424718
35,2.0,8.0,2000.0,28.0,1.0,1.0,0.7310581761912922
36,2.0,12.0,3000.0,47.0,1.0,1.0,0.7310583376922354
37,4.0,6.0,1500.0,16.0,1.0,1.0,0.7310583437500726
38,2.0,14.0,3500.0,57.0,1.0,1.0,0.7310573833836695
39,4.0,7.0,1750.0,22.0,1.0,1.0,0.6420825402062801
40,2.0,13.0,3250.0,53.0,1.0,1.0,0.7310582411931946
41,2.0,5.0,1250.0,16.0,0.0,1.0,0.6224595545579311
42,2.0,5.0,1250.0,16.0,1.0,1.0,0.6224595545579311
43,2.0,5.0,1250.0,16.0,0.0,1.0,0.6224595545579311
44,4.0,20.0,5000.0,69.0,1.0,1.0,0.7310584732982599
45,4.0,9.0,2250.0,28.0,1.0,0.0,0.500000163058923
46,2.0,9.0,2250.0,36.0,0.0,0.0,0.4999997176397972
47,2.0,2.0,500.0,2.0,0.0,0.0,0.5000004827904914
48,2.0,2.0,500.0,2.0,0.0,0.0,0.5000004827904914
49,2.0,2.0,500.0,2.0,0.0,0.0,0.5000004827904914
50,2.0,11.0,2750.0,46.0,0.0,1.0,0.6224592524602539
51,2.0,11.0,2750.0,46.0,1.0,1.0,0.6224592524602539
52,2.0,6.0,1500.0,22.0,0.0,1.0,0.6224571886940687
53,2.0,12.0,3000.0,52.0,0.0,0.0,0.4999998772060838
54,4.0,5.0,1250.0,14.0,1.0,1.0,0.7310572611162499
55,4.0,19.0,4750.0,69.0,1.0,1.0,0.6862816384027928
56,4.0,8.0,2000.0,26.0,1.0,1.0,0.7310588450398947
57,2.0,7.0,1750.0,28.0,1.0,1.0,0.7310583878240771
58,2.0,16.0,4000.0,81.0,0.0,0.0,0.5000001346046908
59,3.0,6.0,1500.0,21.0,0.0,0.0,0.5000031553365517
60,2.0,7.0,1750.0,29.0,0.0,1.0,0.6327427954325222
61,2.0,8.0,2000.0,35.0,1.0,1.0,0.8361148575860176
62,2.0,10.0,2500.0,49.0,0.0,0.0,0.4999999896623579
63,4.0,5.0,1250.0,16.0,1.0,1.0,0.7310584771031826
64,2.0,3.0,750.0,9.0,1.0,1.0,0.7310584811250198
65,3.0,16.0,4000.0,74.0,0.0,0.0,0.4407476154102552
66,2.0,4.0,1000.0,14.0,1.0,1.0,0.6607562686288909
67,0.0,2.0,500.0,4.0,0.0,0.0,0.49999898409897015
68,4.0,7.0,1750.0,25.0,0.0,0.0,0.50000032391078
69,1.0,9.0,2250.0,51.0,0.0,1.0,0.6472889230654931
70,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498341546229899
71,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498341546229899
72,4.0,17.0,4250.0,71.0,1.0,1.0,0.7310581240804293
73,2.0,2.0,500.0,4.0,0.0,1.0,0.6055325956674069
74,2.0,2.0,500.0,4.0,1.0,1.0,0.6055325956674069
75,2.0,2.0,500.0,4.0,1.0,1.0,0.6055325956674069
76,2.0,4.0,1000.0,16.0,1.0,0.0,0.5498341546229899
