,0,1,2,3,y_true,y_predict,y_proba
0,2.0,50.0,12500.0,98.0,1.0,0.0,0.4466792211750254
1,0.0,13.0,3250.0,28.0,1.0,0.0,0.4301707249124852
2,1.0,16.0,4000.0,35.0,1.0,1.0,0.731058056122378
3,2.0,20.0,5000.0,45.0,1.0,1.0,0.7310582373519756
4,1.0,24.0,6000.0,77.0,0.0,0.0,0.5000002247888612
5,4.0,4.0,1000.0,4.0,0.0,0.0,0.6224592058716469
6,2.0,7.0,1750.0,14.0,1.0,1.0,0.7310583538727514
7,1.0,12.0,3000.0,35.0,0.0,0.0,0.5000000620729796
8,2.0,9.0,2250.0,22.0,1.0,1.0,0.7310581779849068
9,5.0,46.0,11500.0,98.0,1.0,1.0,0.7310580432753007
10,4.0,23.0,5750.0,58.0,0.0,0.0,0.5000000161066103
11,0.0,3.0,750.0,4.0,0.0,0.0,0.5000000102063459
12,2.0,10.0,2500.0,28.0,1.0,1.0,0.7310581632566737
13,1.0,13.0,3250.0,47.0,0.0,0.0,0.4999998831170669
14,2.0,6.0,1500.0,15.0,1.0,1.0,0.731058458176305
15,2.0,5.0,1250.0,11.0,1.0,1.0,0.7310583772786435
16,2.0,14.0,3500.0,48.0,1.0,0.0,0.5395263603375139
17,2.0,15.0,3750.0,49.0,1.0,1.0,0.7310581802052611
18,2.0,6.0,1500.0,15.0,1.0,1.0,0.731058458176305
19,2.0,3.0,750.0,4.0,1.0,1.0,0.731058154950515
20,2.0,3.0,750.0,4.0,1.0,1.0,0.731058154950515
21,4.0,11.0,2750.0,28.0,0.0,0.0,0.5000001241884712
22,2.0,6.0,1500.0,16.0,1.0,1.0,0.7310584642049115
23,2.0,6.0,1500.0,16.0,1.0,1.0,0.7310584642049115
24,9.0,9.0,2250.0,16.0,0.0,0.0,0.49999997090732384
25,4.0,14.0,3500.0,40.0,0.0,0.0,0.5000003055560782
26,4.0,6.0,1500.0,14.0,0.0,0.0,0.49999987543096
27,4.0,12.0,3000.0,34.0,1.0,0.0,0.4585509784573373
28,4.0,5.0,1250.0,11.0,1.0,1.0,0.7310585691190505
29,4.0,8.0,2000.0,21.0,0.0,0.0,0.49999997654019457
30,1.0,14.0,3500.0,58.0,0.0,0.0,0.5000000241229148
31,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310584247623032
32,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310584247623032
33,4.0,9.0,2250.0,26.0,1.0,1.0,0.7310580623542484
34,2.0,16.0,4000.0,64.0,0.0,0.0,0.4272427271977638
35,2.0,8.0,2000.0,28.0,1.0,1.0,0.7310581880352762
36,2.0,12.0,3000.0,47.0,1.0,1.0,0.7310583411495495
37,4.0,6.0,1500.0,16.0,1.0,1.0,0.6230984955514894
38,2.0,14.0,3500.0,57.0,1.0,1.0,0.73105822964296
39,4.0,7.0,1750.0,22.0,1.0,1.0,0.7310581393680253
40,2.0,13.0,3250.0,53.0,1.0,0.0,0.5561400066423765
41,2.0,5.0,1250.0,16.0,0.0,1.0,0.6607562530850504
42,2.0,5.0,1250.0,16.0,1.0,1.0,0.6607562530850504
43,2.0,5.0,1250.0,16.0,0.0,1.0,0.6607562530850504
44,4.0,20.0,5000.0,69.0,1.0,1.0,0.7310583864595724
45,4.0,9.0,2250.0,28.0,1.0,0.0,0.6224592962243746
46,2.0,9.0,2250.0,36.0,0.0,0.0,0.4999998138122305
47,2.0,2.0,500.0,2.0,0.0,0.0,0.49999999665207495
48,2.0,2.0,500.0,2.0,0.0,0.0,0.49999999665207495
49,2.0,2.0,500.0,2.0,0.0,0.0,0.49999999665207495
50,2.0,11.0,2750.0,46.0,0.0,0.0,0.6224591644478235
51,2.0,11.0,2750.0,46.0,1.0,0.0,0.6224591644478235
52,2.0,6.0,1500.0,22.0,0.0,0.0,0.6224592409303502
53,2.0,12.0,3000.0,52.0,0.0,0.0,0.5000000666576975
54,4.0,5.0,1250.0,14.0,1.0,0.0,0.4233700968680399
55,4.0,19.0,4750.0,69.0,1.0,1.0,0.7310582059854938
56,4.0,8.0,2000.0,26.0,1.0,1.0,0.7310582087735659
57,2.0,7.0,1750.0,28.0,1.0,1.0,0.731058252268289
58,2.0,16.0,4000.0,81.0,0.0,0.0,0.500000343373875
59,3.0,6.0,1500.0,21.0,0.0,0.0,0.49999999106688237
60,2.0,7.0,1750.0,29.0,0.0,0.0,0.5325150088123706
61,2.0,8.0,2000.0,35.0,1.0,1.0,0.7310582708630974
62,2.0,10.0,2500.0,49.0,0.0,0.0,0.4580040155984489
63,4.0,5.0,1250.0,16.0,1.0,1.0,0.7310584486731161
64,2.0,3.0,750.0,9.0,1.0,1.0,0.7310581714639
65,3.0,16.0,4000.0,74.0,0.0,0.0,0.5000000488877271
66,2.0,4.0,1000.0,14.0,1.0,0.0,0.6224591425632164
67,0.0,2.0,500.0,4.0,0.0,0.0,0.5554263139300499
68,4.0,7.0,1750.0,25.0,0.0,0.0,0.49999961731634157
69,1.0,9.0,2250.0,51.0,0.0,0.0,0.4999997601586566
70,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340124734448
71,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340124734448
72,4.0,17.0,4250.0,71.0,1.0,1.0,0.7310580946383457
73,2.0,2.0,500.0,4.0,0.0,0.0,0.6055324522044484
74,2.0,2.0,500.0,4.0,1.0,0.0,0.6055324522044484
75,2.0,2.0,500.0,4.0,1.0,0.0,0.6055324522044484
76,2.0,4.0,1000.0,16.0,1.0,0.0,0.5498340124734448
77,2.0,2.0,500.0,4.0,0.0,0.0,0.6055324522044484
78,2.0,2.0,500.0,4.0,0.0,0.0,0.6055324522044484
79,2.0,2.0,500.0,4.0,0.0,0.0,0.6055324522044484
80,4.0,6.0,1500.0,23.0,1.0,1.0,0.7310585368084708
81,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340124734448
82,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340124734448
83,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340124734448
84,2.0,6.0,1500.0,28.0,1.0,0.0,0.6224592137408741
85,2.0,6.0,1500.0,28.0,0.0,0.0,0.6224592137408741
86,4.0,2.0,500.0,4.0,0.0,0.0,0.5926665753971385
87,4.0,2.0,500.0,4.0,0.0,0.0,0.5926665753971385
88,4.0,2.0,500.0,4.0,0.0,0.0,0.5926665753971385
89,2.0,7.0,1750.0,35.0,1.0,1.0,0.731057902437567
90,4.0,2.0,500.0,4.0,1.0,0.0,0.5926665753971385
91,4.0,2.0,500.0,4.0,0.0,0.0,0.5926665753971385
92,4.0,2.0,500.0,4.0,0.0,0.0,0.5926665753971385
93,4.0,2.0,500.0,4.0,0.0,0.0,0.5926665753971385
94,12.0,11.0,2750.0,23.0,0.0,0.0,0.5000000572782973
95,4.0,7.0,1750.0,28.0,0.0,0.0,0.5000000111511345
96,3.0,17.0,4250.0,86.0,0.0,0.0,0.49999972057902514
