,0,1,2,3,y_true,y_predict,y_proba
0,2.0,50.0,12500.0,98.0,1.0,0.0,0.5553615051709512
1,0.0,13.0,3250.0,28.0,1.0,1.0,0.731058782173212
2,1.0,16.0,4000.0,35.0,1.0,1.0,0.7310457555655909
3,2.0,20.0,5000.0,45.0,1.0,1.0,0.731060298926366
4,1.0,24.0,6000.0,77.0,0.0,0.0,0.4999967318988523
5,4.0,4.0,1000.0,4.0,0.0,0.0,0.62245352236417
6,2.0,7.0,1750.0,14.0,1.0,1.0,0.7312358258691242
7,1.0,12.0,3000.0,35.0,0.0,0.0,0.5000623170474765
8,2.0,9.0,2250.0,22.0,1.0,1.0,0.7309230145287376
9,5.0,46.0,11500.0,98.0,1.0,1.0,0.7310539346749619
10,4.0,23.0,5750.0,58.0,0.0,0.0,0.00027151784649350684
11,0.0,3.0,750.0,4.0,0.0,0.0,0.2440053814819106
12,2.0,10.0,2500.0,28.0,1.0,1.0,0.7311761853384283
13,1.0,13.0,3250.0,47.0,0.0,1.0,0.9999905534064463
14,2.0,6.0,1500.0,15.0,1.0,1.0,0.7312403107768204
15,2.0,5.0,1250.0,11.0,1.0,1.0,0.7296544434649551
16,2.0,14.0,3500.0,48.0,1.0,0.0,0.008456459415114862
17,2.0,15.0,3750.0,49.0,1.0,1.0,0.9999981064828983
18,2.0,6.0,1500.0,15.0,1.0,1.0,0.7312403107768204
19,2.0,3.0,750.0,4.0,1.0,0.0,0.4325055815868242
20,2.0,3.0,750.0,4.0,1.0,0.0,0.4325055815868242
21,4.0,11.0,2750.0,28.0,0.0,0.0,0.5001770125616225
22,2.0,6.0,1500.0,16.0,1.0,1.0,0.7315917812797784
23,2.0,6.0,1500.0,16.0,1.0,1.0,0.7315917812797784
24,9.0,9.0,2250.0,16.0,0.0,0.0,6.121994147309318e-05
25,4.0,14.0,3500.0,40.0,0.0,0.0,0.49998807176266047
26,4.0,6.0,1500.0,14.0,0.0,0.0,0.49958272348945026
27,4.0,12.0,3000.0,34.0,1.0,1.0,0.7309268115503398
28,4.0,5.0,1250.0,11.0,1.0,1.0,0.730367806464818
29,4.0,8.0,2000.0,21.0,0.0,0.0,0.003193203661981443
30,1.0,14.0,3500.0,58.0,0.0,0.0,0.500037246718687
31,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310262700222762
32,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310262700222762
33,4.0,9.0,2250.0,26.0,1.0,1.0,0.7309105343765638
34,2.0,16.0,4000.0,64.0,0.0,0.0,0.2077548499986512
35,2.0,8.0,2000.0,28.0,1.0,1.0,0.7310452063226606
36,2.0,12.0,3000.0,47.0,1.0,1.0,0.7309372143279602
37,4.0,6.0,1500.0,16.0,1.0,1.0,0.7314086085307877
38,2.0,14.0,3500.0,57.0,1.0,1.0,0.7310730035281261
39,4.0,7.0,1750.0,22.0,1.0,1.0,0.731012050117029
40,2.0,13.0,3250.0,53.0,1.0,0.0,0.10724152726701776
41,2.0,5.0,1250.0,16.0,0.0,1.0,0.6228494932527465
42,2.0,5.0,1250.0,16.0,1.0,1.0,0.6228494932527465
43,2.0,5.0,1250.0,16.0,0.0,1.0,0.6228494932527465
44,4.0,20.0,5000.0,69.0,1.0,1.0,0.7310633420114742
45,4.0,9.0,2250.0,28.0,1.0,1.0,0.6225009181093294
46,2.0,9.0,2250.0,36.0,0.0,0.0,0.5000112627682812
47,2.0,2.0,500.0,2.0,0.0,0.0,0.4996683752359186
48,2.0,2.0,500.0,2.0,0.0,0.0,0.4996683752359186
49,2.0,2.0,500.0,2.0,0.0,0.0,0.4996683752359186
50,2.0,11.0,2750.0,46.0,0.0,0.0,0.6223879995584451
51,2.0,11.0,2750.0,46.0,1.0,0.0,0.6223879995584451
52,2.0,6.0,1500.0,22.0,0.0,0.0,0.6224568422223862
53,2.0,12.0,3000.0,52.0,0.0,0.0,0.4999503371657711
54,4.0,5.0,1250.0,14.0,1.0,1.0,0.7281666616140476
55,4.0,19.0,4750.0,69.0,1.0,1.0,0.9756624273944564
56,4.0,8.0,2000.0,26.0,1.0,1.0,0.7307750951423938
57,2.0,7.0,1750.0,28.0,1.0,1.0,0.874035259085469
58,2.0,16.0,4000.0,81.0,0.0,0.0,0.5000593397992129
59,3.0,6.0,1500.0,21.0,0.0,0.0,0.49998879620844894
60,2.0,7.0,1750.0,29.0,0.0,0.0,0.4423110961968153
61,2.0,8.0,2000.0,35.0,1.0,1.0,0.7308527171557929
62,2.0,10.0,2500.0,49.0,0.0,0.0,0.5001415544638964
63,4.0,5.0,1250.0,16.0,1.0,1.0,0.7306812831179746
64,2.0,3.0,750.0,9.0,1.0,1.0,0.7307751406428843
65,3.0,16.0,4000.0,74.0,0.0,0.0,0.5000486011961182
66,2.0,4.0,1000.0,14.0,1.0,1.0,0.7307330117765686
67,0.0,2.0,500.0,4.0,0.0,0.0,0.49975002852651595
68,4.0,7.0,1750.0,25.0,0.0,0.0,0.0055592680746774275
69,1.0,9.0,2250.0,51.0,0.0,0.0,0.006819495256414227
70,2.0,4.0,1000.0,16.0,0.0,0.0,0.5497084774206648
71,2.0,4.0,1000.0,16.0,0.0,0.0,0.5497084774206648
72,4.0,17.0,4250.0,71.0,1.0,1.0,0.7310790375876022
73,2.0,2.0,500.0,4.0,0.0,0.0,0.6224308254958879
74,2.0,2.0,500.0,4.0,1.0,0.0,0.6224308254958879
75,2.0,2.0,500.0,4.0,1.0,0.0,0.6224308254958879
76,2.0,4.0,1000.0,16.0,1.0,0.0,0.5497084774206648
77,2.0,2.0,500.0,4.0,0.0,0.0,0.6224308254958879
78,2.0,2.0,500.0,4.0,0.0,0.0,0.6224308254958879
79,2.0,2.0,500.0,4.0,0.0,0.0,0.6224308254958879
80,4.0,6.0,1500.0,23.0,1.0,1.0,0.731070664820122
81,2.0,4.0,1000.0,16.0,0.0,0.0,0.5497084774206648
82,2.0,4.0,1000.0,16.0,0.0,0.0,0.5497084774206648
83,2.0,4.0,1000.0,16.0,0.0,0.0,0.5497084774206648
84,2.0,6.0,1500.0,28.0,1.0,1.0,0.6607641254577812
85,2.0,6.0,1500.0,28.0,0.0,1.0,0.6607641254577812
86,4.0,2.0,500.0,4.0,0.0,0.0,0.5415149130311225
87,4.0,2.0,500.0,4.0,0.0,0.0,0.5415149130311225
88,4.0,2.0,500.0,4.0,0.0,0.0,0.5415149130311225
89,2.0,7.0,1750.0,35.0,1.0,1.0,0.7309579183034681
90,4.0,2.0,500.0,4.0,1.0,0.0,0.5415149130311225
91,4.0,2.0,500.0,4.0,0.0,0.0,0.5415149130311225
92,4.0,2.0,500.0,4.0,0.0,0.0,0.5415149130311225
93,4.0,2.0,500.0,4.0,0.0,0.0,0.5415149130311225
94,12.0,11.0,2750.0,23.0,0.0,0.0,0.5000131662809963
95,4.0,7.0,1750.0,28.0,0.0,0.0,0.49960917274350025
96,3.0,17.0,4250.0,86.0,0.0,0.0,0.500002346997178
97,4.0,9.0,2250.0,38.0,1.0,1.0,0.731207176090475
98,4.0,4.0,1000.0,14.0,1.0,0.0,0.15134091027501456
99,5.0,7.0,1750.0,26.0,1.0,1.0,0.9679519313294435
100,4.0,8.0,2000.0,34.0,1.0,1.0,0.7310928671009501
101,2.0,13.0,3250.0,76.0,1.0,1.0,0.731034533665914
102,4.0,9.0,2250.0,40.0,0.0,0.0,0.5001723274091292
103,2.0,5.0,1250.0,26.0,0.0,0.0,0.4998901169116542
104,2.0,5.0,1250.0,26.0,0.0,0.0,0.4998901169116542
105,6.0,17.0,4250.0,70.0,0.0,1.0,0.9884146317615582
106,0.0,8.0,2000.0,59.0,0.0,0.0,0.5000623579154078
107,3.0,5.0,1250.0,26.0,0.0,0.0,0.49873501026739847
108,2.0,3.0,750.0,14.0,0.0,0.0,0.4996630884425846
109,2.0,10.0,2500.0,64.0,0.0,0.0,0.5000938538402621
110,4.0,5.0,1250.0,23.0,1.0,0.0,0.6223098348888164
111,4.0,9.0,2250.0,46.0,0.0,0.0,0.5000124118661581
112,4.0,5.0,1250.0,23.0,0.0,0.0,0.6223098348888164
113,4.0,8.0,2000.0,40.0,1.0,1.0,0.7304759996968335
114,2.0,12.0,3000.0,82.0,0.0,0.0,0.4999849489058988
115,11.0,24.0,6000.0,64.0,0.0,0.0,0.4999939465800866
116,2.0,7.0,1750.0,46.0,1.0,1.0,0.9117055956196539
117,4.0,11.0,2750.0,61.0,0.0,0.0,0.49982108513612594
118,1.0,7.0,1750.0,57.0,0.0,0.0,0.5001212787761745
119,2.0,11.0,2750.0,79.0,1.0,1.0,0.7309660233561297
120,2.0,3.0,750.0,16.0,1.0,1.0,0.73086018332656
121,4.0,5.0,1250.0,26.0,1.0,1.0,0.7314721136466107
122,2.0,6.0,1500.0,41.0,1.0,1.0,0.6881887979383304
123,2.0,5.0,1250.0,33.0,1.0,1.0,0.7291124102500103
124,2.0,4.0,1000.0,26.0,0.0,0.0,0.4994098330843594
125,2.0,5.0,1250.0,34.0,0.0,0.0,0.5020133652834868
126,4.0,8.0,2000.0,46.0,1.0,1.0,0.7310781103204498
127,2.0,4.0,1000.0,26.0,0.0,0.0,0.4994098330843594
128,4.0,8.0,2000.0,48.0,1.0,1.0,0.7312516241208901
129,2.0,2.0,500.0,10.0,1.0,0.0,0.5005681345194107
130,4.0,5.0,1250.0,28.0,0.0,0.0,0.4982865702752973
131,2.0,12.0,3000.0,95.0,0.0,0.0,0.4999856611235151
132,2.0,2.0,500.0,10.0,0.0,0.0,0.5005681345194107
133,4.0,6.0,1500.0,35.0,0.0,0.0,0.6221373264578111
134,2.0,11.0,2750.0,88.0,0.0,0.0,0.49985494973144046
135,2.0,3.0,750.0,19.0,0.0,0.0,0.5003995117574297
136,2.0,5.0,1250.0,37.0,0.0,0.0,0.5001244373976113
137,2.0,12.0,3000.0,98.0,0.0,0.0,0.2644174636569561
138,9.0,5.0,1250.0,19.0,0.0,0.0,0.5002605395692054
139,2.0,2.0,500.0,11.0,0.0,1.0,0.6457052027172353
140,2.0,9.0,2250.0,74.0,0.0,1.0,0.9988890674177949
141,5.0,14.0,3500.0,86.0,0.0,0.0,0.49995030425622533
142,4.0,3.0,750.0,16.0,0.0,0.0,0.5822557861549266
143,4.0,3.0,750.0,16.0,0.0,0.0,0.5822557861549266
144,4.0,2.0,500.0,9.0,1.0,0.0,0.6223403235171039
145,4.0,3.0,750.0,16.0,1.0,0.0,0.5822557861549266
146,6.0,3.0,750.0,14.0,0.0,1.0,0.678105692607006
147,2.0,2.0,500.0,11.0,0.0,1.0,0.6457052027172353
148,2.0,2.0,500.0,11.0,1.0,1.0,0.6457052027172353
149,2.0,2.0,500.0,11.0,0.0,1.0,0.6457052027172353
150,2.0,7.0,1750.0,58.0,1.0,1.0,0.731046465356874
151,4.0,6.0,1500.0,39.0,0.0,0.0,0.4997708416913596
152,4.0,11.0,2750.0,78.0,0.0,0.0,0.5000480465701974
153,2.0,1.0,250.0,2.0,1.0,0.0,0.5498261342084485
154,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
155,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
156,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
157,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
158,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
159,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
160,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
161,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
162,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
163,2.0,1.0,250.0,2.0,1.0,0.0,0.5498261342084485
164,2.0,1.0,250.0,2.0,1.0,0.0,0.5498261342084485
165,2.0,1.0,250.0,2.0,1.0,0.0,0.5498261342084485
166,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
167,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
168,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
169,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
170,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
171,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
172,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
173,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
174,2.0,1.0,250.0,2.0,0.0,0.0,0.5498261342084485
175,11.0,10.0,2500.0,35.0,0.0,0.0,0.5001272219881958
176,11.0,4.0,1000.0,16.0,1.0,1.0,0.7312685522378
177,4.0,5.0,1250.0,33.0,1.0,1.0,0.7274475658885471
178,4.0,6.0,1500.0,41.0,1.0,1.0,0.7308244631828343
179,2.0,3.0,750.0,22.0,0.0,0.0,0.5002750582712205
180,4.0,4.0,1000.0,26.0,1.0,0.0,0.6222637991612944
181,10.0,4.0,1000.0,16.0,0.0,0.0,0.500959304094092
182,2.0,4.0,1000.0,35.0,0.0,0.0,0.49963237247245756
183,4.0,12.0,3000.0,88.0,0.0,0.0,0.5000492505212387
184,13.0,8.0,2000.0,26.0,0.0,0.0,0.49989731457407305
185,11.0,9.0,2250.0,33.0,0.0,0.0,0.5000238017647738
186,4.0,5.0,1250.0,34.0,0.0,0.0,0.5044132010034504
187,4.0,4.0,1000.0,26.0,0.0,0.0,0.6222637991612944
188,8.0,15.0,3750.0,77.0,0.0,0.0,0.5000078472611986
189,4.0,5.0,1250.0,35.0,1.0,1.0,0.7276332200452551
190,4.0,7.0,1750.0,52.0,0.0,0.0,0.4999106989174287
191,4.0,7.0,1750.0,52.0,0.0,0.0,0.4999106989174287
192,2.0,4.0,1000.0,35.0,0.0,0.0,0.49963237247245756
193,11.0,11.0,2750.0,42.0,0.0,0.0,0.49998431005628335
194,2.0,2.0,500.0,14.0,0.0,0.0,0.5004748388772071
195,2.0,5.0,1250.0,47.0,1.0,1.0,0.8876219726691233
196,9.0,8.0,2000.0,38.0,1.0,1.0,0.731276508515611
197,4.0,6.0,1500.0,47.0,0.0,0.0,0.5003237802487638
198,11.0,7.0,1750.0,29.0,0.0,0.0,0.5003578556138467
199,9.0,9.0,2250.0,45.0,0.0,0.0,0.49977290380700745
200,4.0,6.0,1500.0,52.0,0.0,0.0,0.5003117991749634
201,4.0,7.0,1750.0,58.0,0.0,0.0,0.5003174079663653
202,6.0,2.0,500.0,11.0,1.0,0.0,0.40278682072713734
203,4.0,7.0,1750.0,58.0,0.0,0.0,0.5003174079663653
204,11.0,9.0,2250.0,38.0,0.0,0.0,0.4998993735389065
205,11.0,6.0,1500.0,26.0,0.0,0.0,0.5000617930822674
206,2.0,2.0,500.0,16.0,0.0,0.0,0.4996705639261807
207,2.0,7.0,1750.0,76.0,0.0,0.0,0.5008396472277987
208,11.0,6.0,1500.0,27.0,0.0,0.0,0.4996301297761134
209,11.0,3.0,750.0,14.0,0.0,0.0,0.4988424448087153
210,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
211,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
212,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
213,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
214,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
215,4.0,1.0,250.0,4.0,1.0,0.0,0.5621680557573099
216,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
217,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
218,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
219,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
220,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
221,4.0,1.0,250.0,4.0,1.0,0.0,0.5621680557573099
222,4.0,1.0,250.0,4.0,1.0,0.0,0.5621680557573099
223,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
224,4.0,1.0,250.0,4.0,1.0,0.0,0.5621680557573099
225,4.0,1.0,250.0,4.0,1.0,0.0,0.5621680557573099
226,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
227,4.0,3.0,750.0,24.0,0.0,0.0,0.5011741509752309
228,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
229,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
230,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
231,4.0,1.0,250.0,4.0,1.0,0.0,0.5621680557573099
232,4.0,1.0,250.0,4.0,0.0,0.0,0.5621680557573099
233,10.0,8.0,2000.0,39.0,0.0,0.0,0.5001415046010123
234,14.0,7.0,1750.0,26.0,0.0,0.0,0.5004006426092419
235,8.0,10.0,2500.0,63.0,0.0,0.0,0.4998378120823989
236,11.0,3.0,750.0,15.0,0.0,0.0,0.5034803600770933
237,4.0,2.0,500.0,14.0,0.0,0.0,0.5007640757683642
238,2.0,4.0,1000.0,43.0,0.0,0.0,0.4989759345659779
239,8.0,9.0,2250.0,58.0,0.0,1.0,0.999724500019939
240,8.0,8.0,2000.0,52.0,1.0,0.0,0.010101721155940251
241,11.0,22.0,5500.0,98.0,0.0,1.0,0.9999999999885172
242,4.0,3.0,750.0,25.0,1.0,1.0,0.7300783614079108
243,11.0,17.0,4250.0,79.0,1.0,1.0,0.7310784266783223
244,9.0,2.0,500.0,11.0,0.0,0.0,0.5000576931677747
245,4.0,5.0,1250.0,46.0,0.0,0.0,0.49945530566259017
246,11.0,12.0,3000.0,58.0,0.0,0.0,0.0202426916565205
247,7.0,12.0,3000.0,86.0,0.0,0.0,4.1170033661057944e-05
248,11.0,2.0,500.0,11.0,0.0,0.0,0.49999551667587117
249,11.0,2.0,500.0,11.0,0.0,0.0,0.49999551667587117
250,11.0,2.0,500.0,11.0,0.0,0.0,0.49999551667587117
251,2.0,6.0,1500.0,75.0,0.0,0.0,0.49945737998728845
252,11.0,8.0,2000.0,41.0,1.0,1.0,0.7314541389500451
253,11.0,3.0,750.0,16.0,1.0,1.0,0.7284488541248964
254,12.0,13.0,3250.0,59.0,0.0,1.0,0.7135824263175545
255,2.0,3.0,750.0,35.0,0.0,0.0,0.5000643188185676
256,16.0,8.0,2000.0,28.0,0.0,0.0,0.5000769052689037
257,11.0,7.0,1750.0,37.0,0.0,0.0,0.5003991564670426
258,4.0,3.0,750.0,28.0,0.0,0.0,0.09516421040568068
259,12.0,12.0,3000.0,58.0,0.0,0.0,0.4998461661181111
260,4.0,4.0,1000.0,41.0,0.0,0.0,0.5010878024286315
261,11.0,14.0,3500.0,73.0,1.0,1.0,0.9995561244530344
262,2.0,2.0,500.0,23.0,0.0,0.0,0.5007675012140818
263,2.0,3.0,750.0,38.0,1.0,1.0,0.7309023395823248
