,0,1,2,3,y_true,y_predict,y_proba
0,2.0,50.0,12500.0,98.0,1.0,1.0,0.7310581580095062
1,0.0,13.0,3250.0,28.0,1.0,1.0,0.7310579552897828
2,1.0,16.0,4000.0,35.0,1.0,1.0,0.73105834132886
3,2.0,20.0,5000.0,45.0,1.0,1.0,0.7310580669252953
4,1.0,24.0,6000.0,77.0,0.0,0.0,0.3104474002222069
5,4.0,4.0,1000.0,4.0,0.0,0.0,0.5000000077437193
6,2.0,7.0,1750.0,14.0,1.0,1.0,0.7310586513868156
7,1.0,12.0,3000.0,35.0,0.0,0.0,0.5747443553058669
8,2.0,9.0,2250.0,22.0,1.0,1.0,0.7310580090273641
9,5.0,46.0,11500.0,98.0,1.0,0.0,0.34206968124291315
10,4.0,23.0,5750.0,58.0,0.0,0.0,0.5000000231946622
11,0.0,3.0,750.0,4.0,0.0,0.0,0.5651206252259007
12,2.0,10.0,2500.0,28.0,1.0,0.0,0.46640495039446833
13,1.0,13.0,3250.0,47.0,0.0,0.0,0.42822461975710224
14,2.0,6.0,1500.0,15.0,1.0,1.0,0.7310583364724192
15,2.0,5.0,1250.0,11.0,1.0,0.0,0.6070228189379342
16,2.0,14.0,3500.0,48.0,1.0,1.0,0.7310579939513735
17,2.0,15.0,3750.0,49.0,1.0,1.0,0.7310583368842659
18,2.0,6.0,1500.0,15.0,1.0,1.0,0.7310583364724192
19,2.0,3.0,750.0,4.0,1.0,1.0,0.7310580671508747
20,2.0,3.0,750.0,4.0,1.0,1.0,0.7310580671508747
21,4.0,11.0,2750.0,28.0,0.0,0.0,0.4870404729780684
22,2.0,6.0,1500.0,16.0,1.0,1.0,0.7310586686039595
23,2.0,6.0,1500.0,16.0,1.0,1.0,0.7310586686039595
24,9.0,9.0,2250.0,16.0,0.0,0.0,0.4999998432152829
25,4.0,14.0,3500.0,40.0,0.0,0.0,0.5000001426845883
26,4.0,6.0,1500.0,14.0,0.0,0.0,0.5000001970272266
27,4.0,12.0,3000.0,34.0,1.0,1.0,0.7310581290544585
28,4.0,5.0,1250.0,11.0,1.0,1.0,0.7310581028713626
29,4.0,8.0,2000.0,21.0,0.0,0.0,0.46629819315470883
30,1.0,14.0,3500.0,58.0,0.0,0.0,0.5000000022568215
31,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310586436200315
32,4.0,10.0,2500.0,28.0,1.0,1.0,0.7310586436200315
33,4.0,9.0,2250.0,26.0,1.0,1.0,0.7310580653781439
34,2.0,16.0,4000.0,64.0,0.0,0.0,0.5497364101401785
35,2.0,8.0,2000.0,28.0,1.0,1.0,0.7310583686269977
36,2.0,12.0,3000.0,47.0,1.0,0.0,0.3674798184696127
37,4.0,6.0,1500.0,16.0,1.0,1.0,0.7310580210907722
38,2.0,14.0,3500.0,57.0,1.0,1.0,0.7310580586692343
39,4.0,7.0,1750.0,22.0,1.0,0.0,0.5975185652790694
40,2.0,13.0,3250.0,53.0,1.0,1.0,0.7310580781897277
41,2.0,5.0,1250.0,16.0,0.0,0.0,0.6224591928657678
42,2.0,5.0,1250.0,16.0,1.0,0.0,0.6224591928657678
43,2.0,5.0,1250.0,16.0,0.0,0.0,0.6224591928657678
44,4.0,20.0,5000.0,69.0,1.0,1.0,0.7310583708131191
45,4.0,9.0,2250.0,28.0,1.0,1.0,0.6224593591243578
46,2.0,9.0,2250.0,36.0,0.0,0.0,0.5000000765060583
47,2.0,2.0,500.0,2.0,0.0,0.0,0.4999999962507878
48,2.0,2.0,500.0,2.0,0.0,0.0,0.4999999962507878
49,2.0,2.0,500.0,2.0,0.0,0.0,0.4999999962507878
50,2.0,11.0,2750.0,46.0,0.0,1.0,0.7310581942208636
51,2.0,11.0,2750.0,46.0,1.0,1.0,0.7310581942208636
52,2.0,6.0,1500.0,22.0,0.0,0.0,0.6224591419023963
53,2.0,12.0,3000.0,52.0,0.0,0.0,0.5000000267735244
54,4.0,5.0,1250.0,14.0,1.0,1.0,0.731058442842216
55,4.0,19.0,4750.0,69.0,1.0,0.0,0.3914165474056565
56,4.0,8.0,2000.0,26.0,1.0,1.0,0.7310583385584574
57,2.0,7.0,1750.0,28.0,1.0,0.0,0.5764921893267311
58,2.0,16.0,4000.0,81.0,0.0,0.0,0.49999985188313956
59,3.0,6.0,1500.0,21.0,0.0,0.0,0.5000003700398818
60,2.0,7.0,1750.0,29.0,0.0,0.0,0.49999988096314835
61,2.0,8.0,2000.0,35.0,1.0,1.0,0.731058283248089
62,2.0,10.0,2500.0,49.0,0.0,0.0,0.5000000417833869
63,4.0,5.0,1250.0,16.0,1.0,1.0,0.7310584468587978
64,2.0,3.0,750.0,9.0,1.0,1.0,0.6265993875370018
65,3.0,16.0,4000.0,74.0,0.0,0.0,0.6036725156897463
66,2.0,4.0,1000.0,14.0,1.0,1.0,0.6607562378163205
67,0.0,2.0,500.0,4.0,0.0,0.0,0.500000209876737
68,4.0,7.0,1750.0,25.0,0.0,0.0,0.5652452760558955
69,1.0,9.0,2250.0,51.0,0.0,0.0,0.5000001610053842
70,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340367390628
71,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340367390628
72,4.0,17.0,4250.0,71.0,1.0,1.0,0.7310585388370678
73,2.0,2.0,500.0,4.0,0.0,0.0,0.5986876291161464
74,2.0,2.0,500.0,4.0,1.0,0.0,0.5986876291161464
75,2.0,2.0,500.0,4.0,1.0,0.0,0.5986876291161464
76,2.0,4.0,1000.0,16.0,1.0,0.0,0.5498340367390628
77,2.0,2.0,500.0,4.0,0.0,0.0,0.5986876291161464
78,2.0,2.0,500.0,4.0,0.0,0.0,0.5986876291161464
79,2.0,2.0,500.0,4.0,0.0,0.0,0.5986876291161464
80,4.0,6.0,1500.0,23.0,1.0,1.0,0.7310584480830646
81,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340367390628
82,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340367390628
83,2.0,4.0,1000.0,16.0,0.0,0.0,0.5498340367390628
84,2.0,6.0,1500.0,28.0,1.0,1.0,0.6607563869649914
85,2.0,6.0,1500.0,28.0,0.0,1.0,0.6607563869649914
86,4.0,2.0,500.0,4.0,0.0,0.0,0.6224592756463676
87,4.0,2.0,500.0,4.0,0.0,0.0,0.6224592756463676
88,4.0,2.0,500.0,4.0,0.0,0.0,0.6224592756463676
89,2.0,7.0,1750.0,35.0,1.0,0.0,0.34504575980356955
90,4.0,2.0,500.0,4.0,1.0,0.0,0.6224592756463676
91,4.0,2.0,500.0,4.0,0.0,0.0,0.6224592756463676
92,4.0,2.0,500.0,4.0,0.0,0.0,0.6224592756463676
93,4.0,2.0,500.0,4.0,0.0,0.0,0.6224592756463676
94,12.0,11.0,2750.0,23.0,0.0,0.0,0.4252878715141488
95,4.0,7.0,1750.0,28.0,0.0,0.0,0.49999981661473325
96,3.0,17.0,4250.0,86.0,0.0,0.0,0.49999996039465083
97,4.0,9.0,2250.0,38.0,1.0,1.0,0.7310584548072356
98,4.0,4.0,1000.0,14.0,1.0,1.0,0.7310585178106961
99,5.0,7.0,1750.0,26.0,1.0,1.0,0.7310584230978142
100,4.0,8.0,2000.0,34.0,1.0,1.0,0.7310583817306995
101,2.0,13.0,3250.0,76.0,1.0,1.0,0.7310581789418379
102,4.0,9.0,2250.0,40.0,0.0,0.0,0.49999995667425834
103,2.0,5.0,1250.0,26.0,0.0,0.0,0.499999304536091
104,2.0,5.0,1250.0,26.0,0.0,0.0,0.499999304536091
105,6.0,17.0,4250.0,70.0,0.0,0.0,0.5000000774691647
106,0.0,8.0,2000.0,59.0,0.0,0.0,0.49999982966743445
107,3.0,5.0,1250.0,26.0,0.0,0.0,0.5000033554899864
108,2.0,3.0,750.0,14.0,0.0,0.0,0.49999995801114794
109,2.0,10.0,2500.0,64.0,0.0,0.0,0.5000000085462568
110,4.0,5.0,1250.0,23.0,1.0,0.0,0.6224591947894939
111,4.0,9.0,2250.0,46.0,0.0,0.0,0.49999972926055475
112,4.0,5.0,1250.0,23.0,0.0,0.0,0.6224591947894939
113,4.0,8.0,2000.0,40.0,1.0,1.0,0.7310583337329595
114,2.0,12.0,3000.0,82.0,0.0,0.0,0.500000147855703
115,11.0,24.0,6000.0,64.0,0.0,0.0,0.49999984255207625
116,2.0,7.0,1750.0,46.0,1.0,1.0,0.7310582562847111
117,4.0,11.0,2750.0,61.0,0.0,0.0,0.5000003670617243
118,1.0,7.0,1750.0,57.0,0.0,1.0,0.6926865564390287
119,2.0,11.0,2750.0,79.0,1.0,1.0,0.731057798412468
120,2.0,3.0,750.0,16.0,1.0,1.0,0.7310579912173104
121,4.0,5.0,1250.0,26.0,1.0,1.0,0.7310564374235825
122,2.0,6.0,1500.0,41.0,1.0,0.0,0.5182190847568221
123,2.0,5.0,1250.0,33.0,1.0,1.0,0.6344143215597084
124,2.0,4.0,1000.0,26.0,0.0,0.0,0.5000000116331212
125,2.0,5.0,1250.0,34.0,0.0,0.0,0.49999973722631497
126,4.0,8.0,2000.0,46.0,1.0,1.0,0.7310584809278525
127,2.0,4.0,1000.0,26.0,0.0,0.0,0.5000000116331212
128,4.0,8.0,2000.0,48.0,1.0,1.0,0.7016994399383318
129,2.0,2.0,500.0,10.0,1.0,1.0,0.6224593653548434
130,4.0,5.0,1250.0,28.0,0.0,0.0,0.5000004830852138
131,2.0,12.0,3000.0,95.0,0.0,0.0,0.5000001163836746
132,2.0,2.0,500.0,10.0,0.0,1.0,0.6224593653548434
133,4.0,6.0,1500.0,35.0,0.0,0.0,0.5825701017010813
