0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
time,cos,0to40,x,y,z,val,noise1,noise2,noise3,noise4,timex10,time+noise,logic,restrictions,0to40%4,x+y,x+z,y+z,0to40+cos*10,target
5,0.82,10,0,1,1,8699,1747,4519,10598,15109,50,5.27,6,8699,2,1,2,1,18.2,0
10,0.34,4,1,1,1,14114,21592,7633,6081,8926,100,9.77,7,0,0,2,2,2,7.4,0
14,0.14,22,1,0,1,21168,4122,1301,7401,2537,140,13.31,5,0,2,1,1,2,23.4,0
17,0.48,20,1,1,1,8871,4542,8464,8157,15924,170,17.78,7,0,0,2,2,2,24.8,0
36,0.31,8,0,0,1,10209,38023,5832,15264,11257,360,35.04,4,0,0,0,1,1,11.1,0
37,0.19,26,0,0,0,23374,37141,915,8312,5190,370,37.73,0,0,2,0,0,0,27.9,0
38,0.07,24,1,0,1,14981,18319,5964,8291,19831,380,38.17,5,0,0,1,1,2,24.7,0
39,0.05,16,0,0,1,15657,31715,9943,3433,1259,390,39.77,4,0,0,0,1,1,16.5,0
47,0.86,28,0,0,1,8740,3185,1963,18835,7041,470,47.6,4,8740,0,0,1,1,36.6,0
49,0.96,34,1,1,1,7520,28728,8017,11490,4369,490,49.22,7,7520,2,2,2,2,43.6,0
70,0.64,6,1,1,1,5230,15188,306,19944,6564,700,69.72,7,5230,2,2,2,2,12.4,0
79,0.97,26,0,1,1,8011,4704,2262,15185,19250,790,78.74,6,8011,2,1,2,1,35.7,0
90,0,2,1,0,0,22161,29444,6242,8213,8238,900,89.65,1,0,2,1,0,1,2,0
91,0.12,6,0,1,1,13606,28286,1738,19909,8717,910,90.7,6,0,2,1,2,1,7.2,0
92,0.24,20,0,0,0,10588,27112,4847,336,4202,920,91.08,0,0,0,0,0,0,22.4,0
93,0.36,32,0,0,0,20237,8849,1102,18642,8944,930,93.01,0,0,0,0,0,0,35.6,0
100,0.94,26,1,0,1,9851,16909,3884,19085,16457,1000,100.71,5,9851,2,1,1,2,35.4,0
103,1,10,1,0,0,9705,8963,6941,5292,1482,1030,103.01,1,9705,2,1,0,1,20,0
